customer_id,customer_name,email,city,country,join_date
1,Tony Potts,nnelson@example.org,Lake Dawn,Lebanon,1971-11-28
2,Mark Ward,chambersrobert@example.net,Johnhaven,Israel,1973-12-22
3,Diana Sharp,annsmith@example.com,Port Rebecca,Bangladesh,2019-10-05
4,Samuel Barrera,abigail45@example.net,East Belindabury,Saudi Arabia,1981-01-02
5,Mary Alvarez,marialeonard@example.com,Goodwinport,Benin,2009-01-13
6,Mark Foster,emily63@example.com,Robinfort,South Georgia and the South Sandwich Islands,1999-04-17
7,Connie Green,tyler32@example.net,North Robertland,Gibraltar,1976-11-08
8,James Brown,kempaustin@example.org,Judyfurt,Lao People's Democratic Republic,1985-07-23
9,William Walton,masonaudrey@example.org,Haynesmouth,Tonga,2018-05-03
10,Gerald Weber,pacesean@example.com,Jonesbury,Tunisia,2023-10-17
11,Andrea Owens,paynehaley@example.org,New Brenda,Nicaragua,2004-12-12
12,Daniel Arnold,scotttimothy@example.net,Andersonborough,Norway,2012-11-13
13,Zachary Mitchell,mitchelldavid@example.com,Longburgh,Montserrat,2002-10-17
14,John West,smithrichard@example.net,Matthewland,Indonesia,1983-02-26
15,Randy Valenzuela,williamsalex@example.net,North Kathleen,Fiji,1986-08-01
16,Megan Schwartz,timothy50@example.org,New Amanda,Bermuda,1987-01-02
17,Theresa Johnson,robbinsdeanna@example.net,Tristantown,Korea,2024-11-12
18,Jamie Davis,emily82@example.net,Chapmanburgh,Andorra,2014-07-01
19,Frank Ross,tiffany88@example.com,New Caroline,Benin,1972-07-14
20,Jack Kerr,johnstonbrandy@example.org,Wagnerton,Guinea,2015-09-01
21,Andrew Hamilton,martinezdavid@example.net,Thompsonville,Paraguay,1992-03-31
22,Adam Lewis,kruegerlisa@example.net,Hodgesport,Hong Kong,1992-01-04
23,Andrea Phillips,stevensanford@example.org,Merrittside,Jersey,1992-11-14
24,Karen Delacruz,wcrawford@example.com,Josephmouth,United States of America,1970-01-02
25,Aaron Hubbard,blopez@example.org,New Dawnville,Venezuela,1989-12-01
26,Mrs. Bianca Yoder,katherine49@example.org,New Crystal,United States of America,2011-03-30
27,Jose Johnson DVM,cclark@example.org,South Amymouth,United States Minor Outlying Islands,1989-12-02
28,Ricky James,priscillapatterson@example.net,East Ruthborough,Holy See (Vatican City State),1976-05-05
29,Mark Miller,sandersnicole@example.org,Krystalbury,Mozambique,1981-11-26
30,Brent Mcgee,gina73@example.net,Johnsonmouth,Venezuela,2025-11-23
31,Tony Mcknight,williamsjames@example.net,East Michelleborough,British Virgin Islands,2012-06-20
32,Richard Montgomery,oblanchard@example.com,Brewerfurt,Isle of Man,2004-01-25
33,Tiffany Taylor,nhensley@example.org,Lake Jonathan,Taiwan,2017-05-30
34,Lauren Joseph,adamnunez@example.com,Jonathanville,Wallis and Futuna,2007-04-15
35,Randy Paul,esmith@example.com,Port Tammyville,Pakistan,1992-09-27
36,Tracie Peters,mason45@example.org,Lake Natashaborough,Hungary,1975-03-10
37,Logan Gonzalez,dwood@example.com,Solomonchester,Hong Kong,1991-12-08
38,Benjamin Martinez,kylie56@example.net,New Kevin,Saint Kitts and Nevis,1978-12-22
39,Brandon Miller,dyerashley@example.com,Port Cheryl,Mauritania,1999-09-29
40,David Evans,ashleyrachel@example.com,New Alexisborough,Liberia,2020-03-05
41,Todd Mckenzie,carlsondaniel@example.net,Leahchester,British Indian Ocean Territory (Chagos Archipelago),1982-05-21
42,Javier Clark,tracy75@example.net,New Amanda,Uruguay,1983-09-23
43,Karina Gilbert,crystal25@example.com,New Marc,Kenya,1996-08-18
44,Ronald Baker,andreacunningham@example.com,Ricehaven,Pitcairn Islands,1971-05-19
45,Riley Kelly,sarah11@example.net,Jaclynfort,Austria,2024-08-18
46,Tara Campbell,olivia78@example.org,Andersonfurt,Marshall Islands,2003-12-07
47,Anita Gibbs,rebecca23@example.com,East Joshuafort,Ethiopia,1989-08-29
48,Alejandra Gray,catherine04@example.com,North Briannaland,Bulgaria,2002-01-23
49,Mr. Todd Powell,anthony66@example.com,Greenton,Japan,2025-09-25
50,James Stewart,larrygrimes@example.com,Port Billy,Liechtenstein,1999-04-08
51,Stephen Chavez Jr.,darius63@example.com,Mckinneytown,Guadeloupe,1982-11-24
52,Brandy Baker,franciscodeleon@example.org,East Ann,Pitcairn Islands,1985-04-11
53,Matthew Pittman,jasminesmith@example.org,West Amanda,Svalbard & Jan Mayen Islands,1988-09-28
54,Micheal Reed,crystal13@example.net,Fergusonborough,Mayotte,2005-11-10
55,Brent Robinson,elizabeth45@example.org,Kellyhaven,Ethiopia,2021-09-18
56,Vickie Bradley,jill48@example.com,West Derekberg,Cote d'Ivoire,2016-10-24
57,Sarah Rhodes,donna11@example.com,Harrisborough,Martinique,2013-08-14
58,Mrs. Kathleen Martin,shanespencer@example.org,East Karentown,Kuwait,2021-05-27
59,Christina Fleming,racheljackson@example.org,Port Amandamouth,Saint Kitts and Nevis,2006-10-25
60,Shaun Adams,jamesfranklin@example.org,Port Chris,Puerto Rico,2007-11-02
61,Kimberly Thomas,leon48@example.com,Lopezborough,Saint Lucia,1970-06-08
62,Kevin Smith,batesmichelle@example.org,West Megan,Denmark,1989-09-20
63,Nicholas Lewis,sara61@example.com,Davidland,Antarctica (the territory South of 60 deg S),2009-02-09
64,Kathryn Smith,kayla03@example.net,East Jessica,Burundi,2016-01-01
65,Kent Vega,elizabethmorrow@example.org,Cassandramouth,Suriname,1992-01-30
66,Adam Moore,ofloyd@example.org,West Rachel,Denmark,1994-03-18
67,Penny Perry,darrellcook@example.net,Ewingland,French Polynesia,2002-01-06
68,Ronald Woods,jasonjones@example.org,Brooksside,El Salvador,1973-12-25
69,Dustin Torres,meadowsmarilyn@example.org,Lake Alexisbury,Ecuador,1992-08-30
